train/reward_compute_count,train/critic_loss,test/success_rate,test/mean_Q,stats_o/mean,train/success_rate,stats_g/mean,stats_g/std,test/ag_g_dist,test/reward_compute_count,epoch,stats_o/std,train/episode,test/episode
695000.0,0.17625166,0.17500000000000002,-24.54893,0.21025778,0.028333333333333335,0.37280384,0.17316045,0.69394284,139000.0,138,0.9002941,13900.0,2780.0
700000.0,0.1964864,0.15833333333333333,-22.153513,0.21027875,0.028333333333333332,0.37280342,0.17318241,0.66842103,140000.0,139,0.90051764,14000.0,2800.0
705000.0,0.18640172,0.19166666666666665,-22.469114,0.21028037,0.016666666666666666,0.37281743,0.17322941,0.6658407,141000.0,140,0.9006497,14100.0,2820.0
710000.0,0.751118,0.125,-23.378641,0.2103071,0.021666666666666667,0.37283596,0.17324443,0.7140177,142000.0,141,0.9008364,14200.0,2840.0
715000.0,0.27478534,0.20833333333333334,-21.477839,0.21033466,0.021666666666666667,0.3728753,0.1732473,0.64105505,143000.0,142,0.9010593,14300.0,2860.0
720000.0,0.2380508,0.16666666666666666,-23.397627,0.2103384,0.03166666666666667,0.37292767,0.1732393,0.7288359,144000.0,143,0.901226,14400.0,2880.0
725000.0,0.30419445,0.18333333333333335,-23.241587,0.21035618,0.016666666666666666,0.37294218,0.17329745,0.67974585,145000.0,144,0.90138143,14500.0,2900.0
730000.0,0.25553697,0.10833333333333334,-26.673555,0.21037011,0.021666666666666667,0.37294856,0.17334698,0.81169444,146000.0,145,0.9015367,14600.0,2920.0
735000.0,0.19881614,0.10833333333333334,-24.184006,0.21035904,0.018333333333333333,0.37295684,0.1733739,0.72328216,147000.0,146,0.9017013,14700.0,2940.0
740000.0,0.23008804,0.18333333333333335,-22.826834,0.2103349,0.021666666666666667,0.37300685,0.17338479,0.6412625,148000.0,147,0.9018638,14800.0,2960.0
745000.0,0.18561144,0.16666666666666666,-22.28682,0.210303,0.028333333333333332,0.373044,0.17342003,0.6632379,149000.0,148,0.9020161,14900.0,2980.0
750000.0,0.3203936,0.16666666666666666,-22.025488,0.21030019,0.021666666666666667,0.3730795,0.17347829,0.6863453,150000.0,149,0.9021471,15000.0,3000.0
755000.0,0.23120844,0.19999999999999998,-21.830969,0.21031034,0.028333333333333335,0.37311038,0.17350917,0.69681567,151000.0,150,0.9022617,15100.0,3020.0
760000.0,0.20571665,0.17500000000000002,-21.75199,0.21030287,0.021666666666666667,0.37314034,0.17354362,0.65531504,152000.0,151,0.9024305,15200.0,3040.0
765000.0,0.29168057,0.25,-20.569403,0.21030779,0.02,0.37317768,0.17358251,0.6126458,153000.0,152,0.9025391,15300.0,3060.0
770000.0,0.21487825,0.15833333333333333,-23.434992,0.21030784,0.03,0.37319544,0.17361192,0.72945523,154000.0,153,0.9026634,15400.0,3080.0
775000.0,0.20138665,0.20833333333333334,-22.154694,0.21030252,0.02,0.37321472,0.17363775,0.67215157,155000.0,154,0.90280896,15500.0,3100.0
780000.0,0.25122353,0.15,-25.212896,0.21030748,0.02,0.3732331,0.17366584,0.7662432,156000.0,155,0.9029607,15600.0,3120.0
785000.0,0.2746591,0.19166666666666665,-22.473364,0.21029584,0.030000000000000002,0.37326798,0.17371364,0.65036315,157000.0,156,0.90307075,15700.0,3140.0
790000.0,0.22350895,0.15833333333333335,-24.540756,0.21030045,0.018333333333333337,0.37327924,0.17376678,0.7509758,158000.0,157,0.90320843,15800.0,3160.0
795000.0,0.19736128,0.19999999999999998,-22.63405,0.21032576,0.023333333333333334,0.37331533,0.17377333,0.64193416,159000.0,158,0.9034155,15900.0,3180.0
800000.0,0.20983958,0.14166666666666666,-22.43574,0.21033798,0.021666666666666667,0.37332913,0.17379539,0.64430404,160000.0,159,0.903629,16000.0,3200.0
805000.0,0.40734372,0.20833333333333334,-22.018213,0.21037234,0.02,0.37333465,0.17382185,0.66837245,161000.0,160,0.9038016,16100.0,3220.0
810000.0,0.22229753,0.15833333333333335,-20.866402,0.21039736,0.03333333333333333,0.37335268,0.17383881,0.615977,162000.0,161,0.9039585,16200.0,3240.0
815000.0,0.29531923,0.225,-18.519325,0.21038936,0.028333333333333332,0.3733228,0.17386924,0.5529903,163000.0,162,0.90405065,16300.0,3260.0
820000.0,0.24725938,0.17500000000000002,-21.596497,0.21044469,0.03166666666666667,0.37332514,0.17390014,0.6337728,164000.0,163,0.904183,16400.0,3280.0
